product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,11,NOV,2057,metric_tonnes,india_petroleum_consumption.csv,129,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,12,DEC,1954,metric_tonnes,india_petroleum_consumption.csv,130,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2025,1,JAN,1911,metric_tonnes,india_petroleum_consumption.csv,131,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2025,2,FEB,1854,metric_tonnes,india_petroleum_consumption.csv,132,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2025,3,MAR,1887,metric_tonnes,india_petroleum_consumption.csv,133,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,4,APR,1001,metric_tonnes,india_petroleum_consumption.csv,134,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,5,MAY,1119,metric_tonnes,india_petroleum_consumption.csv,135,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,6,JUN,1230,metric_tonnes,india_petroleum_consumption.csv,136,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,7,JUL,1449,metric_tonnes,india_petroleum_consumption.csv,137,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,8,AUG,892,metric_tonnes,india_petroleum_consumption.csv,138,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,9,SEP,865,metric_tonnes,india_petroleum_consumption.csv,139,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,10,OCT,811,metric_tonnes,india_petroleum_consumption.csv,140,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,11,NOV,818,metric_tonnes,india_petroleum_consumption.csv,141,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2024,12,DEC,969,metric_tonnes,india_petroleum_consumption.csv,142,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2025,1,JAN,921,metric_tonnes,india_petroleum_consumption.csv,143,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2025,2,FEB,756,metric_tonnes,india_petroleum_consumption.csv,144,VALID
product-896a0734e71eaafd55e7,Others,Others,2024-25,2024,2025,3,MAR,783,metric_tonnes,india_petroleum_consumption.csv,145,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,4,APR,394,metric_tonnes,india_petroleum_consumption.csv,146,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,5,MAY,393,metric_tonnes,india_petroleum_consumption.csv,147,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,6,JUN,381,metric_tonnes,india_petroleum_consumption.csv,148,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,7,JUL,438,metric_tonnes,india_petroleum_consumption.csv,149,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,8,AUG,415,metric_tonnes,india_petroleum_consumption.csv,150,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,9,SEP,440,metric_tonnes,india_petroleum_consumption.csv,151,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,10,OCT,447,metric_tonnes,india_petroleum_consumption.csv,152,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,11,NOV,464,metric_tonnes,india_petroleum_consumption.csv,153,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1998,12,DEC,483,metric_tonnes,india_petroleum_consumption.csv,154,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1999,1,JAN,502,metric_tonnes,india_petroleum_consumption.csv,155,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1999,2,FEB,489,metric_tonnes,india_petroleum_consumption.csv,156,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,1998-99,1998,1999,3,MAR,506,metric_tonnes,india_petroleum_consumption.csv,157,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,4,APR,596,metric_tonnes,india_petroleum_consumption.csv,158,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,5,MAY,709,metric_tonnes,india_petroleum_consumption.csv,159,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,6,JUN,628,metric_tonnes,india_petroleum_consumption.csv,160,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,7,JUL,807,metric_tonnes,india_petroleum_consumption.csv,161,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,8,AUG,751,metric_tonnes,india_petroleum_consumption.csv,162,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,9,SEP,749,metric_tonnes,india_petroleum_consumption.csv,163,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,10,OCT,793,metric_tonnes,india_petroleum_consumption.csv,164,VALID
