country_id,canonical_name,source_name,source_normalized_name,source_dataset,country_code,mapping_status,mapping_method,review_reason
country-9ac506560edb9211e1b5,Kuwait,Kuwait,Kuwait,supplier_crude_imports_2014_2017.csv,11219,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-3383e4237141bb9feeb2,Nigeria,Nigeria,Nigeria,supplier_crude_imports_2014_2017.csv,3291,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-ccce216a59d326e4558d,United Arab Emirates,U Arab Emts,United Arab Emirates,supplier_crude_imports_2014_2017.csv,11419,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-d4328f17fc46dfde5a0a,Iran,Iran,Iran,supplier_crude_imports_2014_2017.csv,10189,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-5feeb60f78d8d2224674,Angola,Angola,Angola,supplier_crude_imports_2014_2017.csv,3011,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-8be2978e343799a3747a,Mexico,Mexico,Mexico,supplier_crude_imports_2014_2017.csv,9259,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-5c8f52ca28966103ff0a,Brazil,Brazil,Brazil,supplier_crude_imports_2014_2017.csv,6043,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-6a9a10210588981dd8fa,Malaysia,Malaysia,Malaysia,supplier_crude_imports_2014_2017.csv,10245,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-3fc81a2348ee6614856d,Qatar,Qatar,Qatar,supplier_crude_imports_2014_2017.csv,11335,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-c91bd9c288c0a7c5ca1b,Colombia,Colombia,Colombia,supplier_crude_imports_2014_2017.csv,6083,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-b116c99a2c11258bdc6b,Egypt,Egypt A Rp,Egypt,supplier_crude_imports_2014_2017.csv,4111,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-f4cb75e90ad07f8c1d38,Ecuador,Ecuador,Ecuador,supplier_crude_imports_2014_2017.csv,6109,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-63c8807c2fd92b19aaf7,Netherlands,Netherland,Netherlands,supplier_crude_imports_2014_2017.csv,13275,MAPPED,exact_canonical_or_explicit_spelling_repair,
